"matching","logodds","df","set"
"nonmatch",-12.2743985878685,3,"Rot 1"
"nonmatch",-8.92816529847127,3,"Rot 1"
"nonmatch",-9.63265464325311,3,"Rot 1"
"nonmatch",-11.6050186293068,3,"Rot 1"
"nonmatch",-8.01192665510426,3,"Rot 1"
"nonmatch",-8.74540968883201,3,"Rot 1"
"nonmatch",-9.62941885103004,3,"Rot 1"
"nonmatch",-9.68148474300878,3,"Rot 1"
"nonmatch",-11.8034532619657,3,"Rot 1"
"nonmatch",-8.4258990787855,3,"Rot 1"
"nonmatch",-9.39234579781746,3,"Rot 1"
"nonmatch",-9.65787245698828,3,"Rot 1"
"nonmatch",-5.90365022495126,3,"Rot 1"
"nonmatch",-7.03247661541935,3,"Rot 1"
"nonmatch",-9.55649710378215,3,"Rot 1"
"match",8.03366467376229,3,"Rot 1"
"nonmatch",-10.8254775632337,3,"Rot 1"
"nonmatch",-10.5012637463587,3,"Rot 1"
"nonmatch",-10.7109972328341,3,"Rot 1"
"nonmatch",-8.15129713040685,3,"Rot 1"
"nonmatch",-11.0103067482514,3,"Rot 1"
"nonmatch",-7.3814799914035,3,"Rot 1"
"nonmatch",-13.1949930730729,3,"Rot 1"
"nonmatch",-7.24691724367988,3,"Rot 1"
"nonmatch",-13.3615792821654,3,"Rot 1"
"nonmatch",-9.51093431524142,3,"Rot 1"
"nonmatch",-8.23405335373089,3,"Rot 1"
"nonmatch",-10.6550485454382,3,"Rot 1"
"nonmatch",-6.93259000557189,3,"Rot 1"
"nonmatch",-11.8131268197232,3,"Rot 1"
"nonmatch",-5.47179396180872,3,"Rot 1"
"nonmatch",-9.96511507685386,3,"Rot 1"
"match",11.4944229016867,3,"Rot 1"
"nonmatch",-12.0268659351403,3,"Rot 1"
"nonmatch",-9.41950376779493,3,"Rot 1"
"nonmatch",-11.4007451698391,3,"Rot 1"
"nonmatch",-8.55725574133923,3,"Rot 1"
"nonmatch",-9.97636610544182,3,"Rot 1"
"nonmatch",-7.55931826475769,3,"Rot 1"
"nonmatch",-9.60135714733977,3,"Rot 1"
"nonmatch",-12.087660839143,3,"Rot 1"
"nonmatch",-6.94981272618987,3,"Rot 1"
"nonmatch",-10.6341544458373,3,"Rot 1"
"nonmatch",-9.32913268759346,3,"Rot 1"
"nonmatch",-9.98970644306122,3,"Rot 1"
"nonmatch",-9.98749975087469,3,"Rot 1"
"nonmatch",-10.7106814240415,3,"Rot 1"
"nonmatch",-7.32962657950294,3,"Rot 1"
"nonmatch",-11.5821074198343,3,"Rot 1"
"match",8.95424067408219,3,"Rot 1"
"nonmatch",-9.3052992272289,3,"Rot 1"
"nonmatch",-7.5093632588411,3,"Rot 1"
"nonmatch",-10.7682763768679,3,"Rot 1"
"nonmatch",-8.7979747039544,3,"Rot 1"
"nonmatch",-7.43229648952961,3,"Rot 1"
"nonmatch",-10.1304601118263,3,"Rot 1"
"nonmatch",-5.6895581406941,3,"Rot 1"
"nonmatch",-12.4416985109262,3,"Rot 1"
"nonmatch",-11.6856567591239,3,"Rot 1"
"nonmatch",-11.4095257243522,3,"Rot 1"
"nonmatch",-6.54075792970886,3,"Rot 1"
"nonmatch",-5.70104288489639,3,"Rot 1"
"nonmatch",-11.3947018724304,3,"Rot 1"
"nonmatch",-11.6064464135915,3,"Rot 1"
"nonmatch",-11.2421479424704,3,"Rot 1"
"nonmatch",-8.34712209619933,3,"Rot 1"
"match",10.7351163183837,3,"Rot 1"
"nonmatch",-8.92871915480839,3,"Rot 1"
"nonmatch",-10.3425240102876,3,"Rot 1"
"nonmatch",-7.11192550639257,3,"Rot 1"
"nonmatch",-5.29068037678299,3,"Rot 1"
"nonmatch",-8.95036466473502,3,"Rot 1"
"nonmatch",-10.2242914800315,3,"Rot 1"
"nonmatch",-9.5668544425031,3,"Rot 1"
"nonmatch",-5.49065893808375,3,"Rot 1"
"nonmatch",-9.14134267447327,3,"Rot 1"
"nonmatch",-10.8662221605687,3,"Rot 1"
"nonmatch",-8.92445822824502,3,"Rot 1"
"nonmatch",-5.75318294119134,3,"Rot 1"
"nonmatch",-11.6804737485821,3,"Rot 1"
"nonmatch",-10.2923004124997,3,"Rot 1"
"nonmatch",-9.67589250726279,3,"Rot 1"
"nonmatch",-8.13975378739995,3,"Rot 1"
"match",8.23791045453126,3,"Rot 1"
"nonmatch",-12.3349275879854,3,"Rot 1"
"nonmatch",-7.38624437003609,3,"Rot 1"
