"matching","logodds","df","set"
"nonmatch",-10.7759470209892,3,"S-10-09-02-01"
"nonmatch",-11.9079873035797,3,"S-10-09-02-01"
"nonmatch",-8.72609095091205,3,"S-10-09-02-01"
"nonmatch",-6.38520669752684,3,"S-10-09-02-01"
"nonmatch",-10.0974398111257,3,"S-10-09-02-01"
"nonmatch",-8.06450821836117,3,"S-10-09-02-01"
"nonmatch",-10.1997131719859,3,"S-10-09-02-01"
"nonmatch",-9.37406895867008,3,"S-10-09-02-01"
"nonmatch",-10.2120992282152,3,"S-10-09-02-01"
"nonmatch",-9.0913711348591,3,"S-10-09-02-01"
"nonmatch",-11.0040099859835,3,"S-10-09-02-01"
"nonmatch",-11.8680497662863,3,"S-10-09-02-01"
"nonmatch",-6.8522486959856,3,"S-10-09-02-01"
"nonmatch",-8.27096457302822,3,"S-10-09-02-01"
"nonmatch",-8.91106308112256,3,"S-10-09-02-01"
"nonmatch",-11.2648345823259,3,"S-10-09-02-01"
"nonmatch",-9.45693477485451,3,"S-10-09-02-01"
"nonmatch",-10.9713825091218,3,"S-10-09-02-01"
"match",10.2760916131247,3,"S-10-09-02-01"
"nonmatch",-9.52702118311517,3,"S-10-09-02-01"
"nonmatch",-8.1735273266837,3,"S-10-09-02-01"
"nonmatch",-8.61947189223564,3,"S-10-09-02-01"
"nonmatch",-9.92114025209871,3,"S-10-09-02-01"
"nonmatch",-10.6837888900299,3,"S-10-09-02-01"
"nonmatch",-11.2926837080762,3,"S-10-09-02-01"
"nonmatch",-7.1546312507708,3,"S-10-09-02-01"
"nonmatch",-7.91799071288868,3,"S-10-09-02-01"
"nonmatch",-10.7532631698549,3,"S-10-09-02-01"
"nonmatch",-9.4208850700278,3,"S-10-09-02-01"
"nonmatch",-6.04792998328313,3,"S-10-09-02-01"
"nonmatch",-9.78070425419523,3,"S-10-09-02-01"
"nonmatch",-12.2062254379399,3,"S-10-09-02-01"
"nonmatch",-11.6648465215837,3,"S-10-09-02-01"
"nonmatch",-8.12820150848597,3,"S-10-09-02-01"
"nonmatch",-10.4620968614929,3,"S-10-09-02-01"
"nonmatch",-6.78000178115223,3,"S-10-09-02-01"
"nonmatch",-10.5937558909451,3,"S-10-09-02-01"
"match",12.8577476425071,3,"S-10-09-02-01"
"nonmatch",-10.7120097096441,3,"S-10-09-02-01"
"nonmatch",-9.93017778824729,3,"S-10-09-02-01"
"nonmatch",-7.72696263258205,3,"S-10-09-02-01"
"nonmatch",-10.9656537895803,3,"S-10-09-02-01"
"nonmatch",-8.27844612607215,3,"S-10-09-02-01"
"nonmatch",-11.517120005443,3,"S-10-09-02-01"
"nonmatch",-9.13173272170009,3,"S-10-09-02-01"
"nonmatch",-8.01667943742867,3,"S-10-09-02-01"
"nonmatch",-11.0229593898509,3,"S-10-09-02-01"
"nonmatch",-9.60051450140594,3,"S-10-09-02-01"
"nonmatch",-9.3026791822124,3,"S-10-09-02-01"
"nonmatch",-11.1246778850087,3,"S-10-09-02-01"
"nonmatch",-8.7495916864023,3,"S-10-09-02-01"
"nonmatch",-11.5815514363564,3,"S-10-09-02-01"
"nonmatch",-10.1316775356845,3,"S-10-09-02-01"
"nonmatch",-6.37793401391423,3,"S-10-09-02-01"
"nonmatch",-6.00234237538287,3,"S-10-09-02-01"
"nonmatch",-11.2669750737768,3,"S-10-09-02-01"
"match",9.96142178581002,3,"S-10-09-02-01"
"nonmatch",-7.55873058886637,3,"S-10-09-02-01"
"nonmatch",-8.03347355496351,3,"S-10-09-02-01"
"nonmatch",-7.89829180496427,3,"S-10-09-02-01"
"nonmatch",-8.11546076349009,3,"S-10-09-02-01"
"nonmatch",-10.5463403976319,3,"S-10-09-02-01"
"nonmatch",-12.0751272617328,3,"S-10-09-02-01"
"nonmatch",-10.1120387085801,3,"S-10-09-02-01"
"nonmatch",-10.4951273002203,3,"S-10-09-02-01"
"nonmatch",-6.25512872021749,3,"S-10-09-02-01"
"nonmatch",-6.36492882810127,3,"S-10-09-02-01"
"nonmatch",-7.04158276606327,3,"S-10-09-02-01"
"nonmatch",-10.4868333398079,3,"S-10-09-02-01"
"nonmatch",-8.10557959776049,3,"S-10-09-02-01"
"nonmatch",-8.99870825651295,3,"S-10-09-02-01"
"nonmatch",-13.4443785294216,3,"S-10-09-02-01"
"nonmatch",-11.6374968723485,3,"S-10-09-02-01"
"nonmatch",-10.8185921050046,3,"S-10-09-02-01"
