,5-10,10-20,knife,img,match,set
108,-0.153396759693171,0.196175859479882,E10:E39,9,nonmatch,3
109,-0.111466453750702,0.223280348617196,E10:E36,1,nonmatch,3
110,-0.21903351886928,0.021933183168243,E10:E36,2,nonmatch,3
111,0.001748541562907,-0.010484558527257,E10:E36,3,nonmatch,3
112,-0.0119069848408,0.148659824937263,E10:E36,4,nonmatch,3
113,-0.118387847254807,-0.016702243819879,E10:E36,5,nonmatch,3
114,-0.225502188796061,-0.010137254408864,E10:E36,6,nonmatch,3
115,0.179563762571071,0.076820860901331,E10:E36,7,nonmatch,3
116,0.05125878000904,0.076052891607903,E10:E36,8,nonmatch,3
117,0.205916747598173,0.226087588206164,E10:E36,9,nonmatch,3
118,0.102959989219365,0.136816976126127,E10:E34,1,nonmatch,3
119,-0.156489019561948,0.142542814589687,E10:E34,2,nonmatch,3
120,0.016896481638088,0.041191486718545,E10:E34,3,nonmatch,3
121,0.220889830039837,0.174154802348989,E10:E34,4,nonmatch,3
122,0.068424910873139,0.304022103456589,E10:E34,5,nonmatch,3
123,0.294485703950801,0.407998164358655,E10:E34,6,nonmatch,3
124,0.25825996776821,0.467174933294492,E10:E34,7,nonmatch,3
125,0.437636423255208,0.299764671487327,E10:E34,8,nonmatch,3
126,0.386186377016425,0.31696595944605,E10:E34,9,nonmatch,3
127,0.172964399760725,0.36268005875158,E10:E28,1,nonmatch,3
128,0.304574675634233,0.319655904824792,E10:E28,2,nonmatch,3
129,0.580457757020543,0.153676229380336,E10:E28,3,nonmatch,3
130,0.360567573801333,0.072063518297016,E10:E28,4,nonmatch,3
131,0.069013740914331,0.107946421414785,E10:E28,5,nonmatch,3
132,-0.008444094955344,0.386921549101869,E10:E28,6,nonmatch,3
133,-0.02224941413333,0.318270924416739,E10:E28,7,nonmatch,3
134,0.208445957591084,0.181446780077105,E10:E28,8,nonmatch,3
135,-0.038914908674879,0.266861637986204,E10:E28,9,nonmatch,3
136,-0.163332656957735,0.32307720387589,E10:E27,1,nonmatch,3
137,0.040646073530345,0.311967009335952,E10:E27,2,nonmatch,3
138,0.059126711819384,0.083916320542776,E10:E27,3,nonmatch,3
139,0.297087305909396,0.307373333969613,E10:E27,4,nonmatch,3
140,0.217882810990734,0.275786913714986,E10:E27,5,nonmatch,3
141,0.555946666184595,0.420934238235241,E10:E27,6,nonmatch,3
142,0.18950266437077,0.397410377943798,E10:E27,7,nonmatch,3
143,0.165987612658093,0.231437978745729,E10:E27,8,nonmatch,3
144,0.057495123910533,0.297390791888271,E10:E27,9,nonmatch,3
145,-0.170779132837619,0.224694275055847,E10:E24,1,nonmatch,3
146,-0.014257998007463,0.196199460061413,E10:E24,2,nonmatch,3
147,0.06108366315409,0.037845227848239,E10:E24,3,nonmatch,3
148,-0.028054764529943,0.197371764378779,E10:E24,4,nonmatch,3
149,0.321151604590731,0.195408040241948,E10:E24,5,nonmatch,3
150,0.495674536100466,0.262562176259729,E10:E24,6,nonmatch,3
151,0.144018465714733,0.38230912368365,E10:E24,7,nonmatch,3
152,0.282248056787792,0.203873457179004,E10:E24,8,nonmatch,3
153,0.351893733988397,0.182589549558748,E10:E24,9,nonmatch,3
154,0.028598823532974,0.197604585656883,T10:E10,1,nonmatch,3
155,0.009422720608823,0.141430171742001,T10:E10,2,nonmatch,3
156,0.236987969386139,0.029533263102611,T10:E10,3,nonmatch,3
157,0.136250705506418,0.252296488955882,T10:E10,4,nonmatch,3
158,-0.097147973669609,0.189089724577749,T10:E10,5,nonmatch,3
